yelp_id,category_name
yNopAyMXGyQycsvOesiLfQ,brasseries
yNopAyMXGyQycsvOesiLfQ,whiskey bars
xSNSz83Yly1L50e6KpkYtg,coffee & tea
m7L5xWNrZMKCOCo9KsgLtg,breakfast & brunch
m7L5xWNrZMKCOCo9KsgLtg,coffee & tea
m7L5xWNrZMKCOCo9KsgLtg,bakeries
97sUsyRO4EX4dw5M9fFPzA,cafes
AHF0HBgL0MMrlq5b8SwJMw,peruvian
V7-Hw3VHBBMdKi36zLj7FQ,delicatessen
V7-Hw3VHBBMdKi36zLj7FQ,bakeries
E6iyTAaxJnrRY6vbo577bA,peruvian
PLEOiIaSQVW8-1bIHvushw,chinese
g6wXaiUF4QKYnGcOGELfLw,food delivery services
g6wXaiUF4QKYnGcOGELfLw,chinese
aJIcANW0hCvfCiTAQfGH_Q,peruvian
2G8SbucvNBjDZpCYlz5j2Q,bakeries
MrbhrckMp_JymCcyibpPhw,brasseries
MrbhrckMp_JymCcyibpPhw,italian
2Ag9JonQOTzwo_kcuHSoGQ,coffee & tea
2Ag9JonQOTzwo_kcuHSoGQ,ice cream & frozen yogurt
-3ptnTYRq9Oj3X102A_1oQ,bakeries
NvZWsr-qTbrE8-Z6p3pRqA,venezuelan
F9VZIYxe49ekfkjkREPxuw,coffee & tea
heHXrlxid78OA-c-FqM9tQ,sushi bars
57akxOIHF8dNX7qjF-MxcA,brasseries
N05QfxkxoLhBa36s9P-csQ,cocktail bars
B4zH7xreY1Cj64yMpucm8A,coffee & tea
H5H_upHaLG3DQv2z_nGr9A,nikkei
lK1sjtiKrQooXMp3plUrTA,chinese
1gleyMDdz8o3BC8kNBjvnw,bakeries
FGcn_YaHA9lvhYWqjxB65A,coffee & tea
FGcn_YaHA9lvhYWqjxB65A,ice cream & frozen yogurt
O1gDj2ieMBCGeKulqjhnww,tex-mex
zi1RUtkyYlSflIiUl-fDtQ,peruvian
_-JGJI8948wEpYAhSjuo-A,italian
GG468haLQWwnZNnDiGjZlQ,pizza
ynr62q8ZhkZR-4bqVLZ70Q,cafes
-aaF9CxjtBUjKcXRHUznTg,pizza
QFMyZ0M9IBAkXC_VeYuHHw,bakeries
T-6MHt9Q30znSIYT5Be1Fg,coffee & tea
V2P2CRzLOPoYhLfGxIh0gQ,cafes
NCq6GBT92-RSPIQwq5vMEA,arabic
-0E0pkRDeqQ5Bo2htq-2wg,grocery
-0E0pkRDeqQ5Bo2htq-2wg,bakeries
72OK8D8mfFGOtSwn89pKbA,dog parks
xxGRI1UD0soYHRX9ApIVlw,pubs
Yet22px6wI1lGEFWXuvRTQ,brasseries
Yet22px6wI1lGEFWXuvRTQ,pizza
Yet22px6wI1lGEFWXuvRTQ,sushi bars
wE-gUrT9vUSEM44Oi5dHew,coffee & tea
wE-gUrT9vUSEM44Oi5dHew,bakeries
l4YfZJA8BOxDDZ3094zo1Q,pizza
l4YfZJA8BOxDDZ3094zo1Q,italian
iEIT7ar9RW8OStdS0_pTDg,indian
hKpTOqJlxszn76hw9rcQFg,mediterranean
wwMyAz5nGqorhjjD44pvFQ,peruvian
90UcLe4F6JhvGjHY4E-1nw,pizza
90UcLe4F6JhvGjHY4E-1nw,empanadas
YONBOD_P92Fe9wzScBOqmg,peruvian
akpfmcjq1aqu6Asn1pU3Hg,beer bar
akpfmcjq1aqu6Asn1pU3Hg,sandwiches
QRA0sPws6aT83PNIk0mEFw,cafes
xIPA8HhJqU89QQPZ_NDUvw,cafeteria
